Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0805_2012Metric",114.750000,-75.750000,270.000000,top
"C2","2.2uF","C_0805_2012Metric",121.500000,-75.750000,270.000000,top
"C3","100nF","C_0603_1608Metric",120.400000,-83.900000,90.000000,top
"C4","100nF","C_0603_1608Metric",130.100000,-85.600000,270.000000,top
"D1","LED1","LED_0805_2012Metric",123.750000,-75.750000,90.000000,top
"D2","LED2","LED_0805_2012Metric",126.000000,-75.750000,90.000000,top
"D3","5.1V","D_SOT-23_ANK",134.750000,-85.250000,90.000000,top
"D4","SP0503BAHT","SOT-143",115.800000,-93.600000,90.000000,top
"F1","Polyfuse","Fuse_1206_3216Metric",117.700000,-79.000000,0.000000,top
"J3","USB_B_Micro","USB_Micro-B_Molex-105017-0001",115.500000,-85.250000,270.000000,top
"Q1","SI2302CDS","SOT-23",131.100000,-80.500000,0.000000,top
"R1","2.2K","R_0805_2012Metric",134.750000,-79.100000,180.000000,top
"R2","100R","R_0603_1608Metric",123.750000,-79.250000,270.000000,top
"R3","100R","R_0603_1608Metric",126.000000,-79.250000,270.000000,top
"R4","4.7R","R_0805_2012Metric",134.750000,-82.500000,180.000000,top
"R5","10K","R_0603_1608Metric",130.900000,-83.200000,180.000000,top
"R6","4.7R","R_0805_2012Metric",134.750000,-88.000000,180.000000,top
"R7","10K","R_0603_1608Metric",132.000000,-90.750000,0.000000,top
"SW1","BOOT","SW_SPST_CK_RS282G05A3",125.250000,-90.750000,180.000000,top
"U1","AP2204K-3.3","SOT-23-5",118.500000,-75.750000,0.000000,top
"U2","STM32F042F6Px","TSSOP-20_4.4x6.5mm_P0.65mm",125.250000,-84.500000,180.000000,top
